author,description,format,genre,month,pages,publisher,rating,title,year
Liane Moriarty,Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?,Hardcover,Fiction,July,415,Flatiron Books,3.56,Truly Madly Guilty,2016
Bryn Greenwood,"As the daughter of a meth dealer, Wavy knows not to trust people, not even her own parents. Struggling to raise her little brother, eight-year-old Wavy is the only responsible ""adult"" around. She finds peace in the starry Midwestern night sky above the fields behind her house. One night everything changes when she witnesses one of her father's thugs, Kellen, a tattooed ex-",Hardcover,Fiction,August,346,Thomas Dunne Books,4.07,All the Ugly and Wonderful Things,2016
Emma Cline,"Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be infamou",Hardcover,Fiction,June,355,Random House,3.47,The Girls,2016
Cynthia D'Aprix Sweeney,"<i>A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.</i>",Hardcover,Fiction,March,368,Ecco,3.42,The Nest,2016
Jodi Picoult,"Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital co",Hardcover,Fiction,October,480,Ballantine Books,4.35,Small Great Things,2016
Curtis Sittenfeld,"This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling",Hardcover,Fiction,April,492,Random House,3.61,Eligible,2016
Ann Patchett,<strong>#1 <em>New York Times </em>Bestseller</strong>,Hardcover,Fiction,September,336,Harper,3.81,Commonwealth,2016
Steven  Rowley,Combining the emotional depth of ,Hardcover,Fiction,June,307,Simon  Schuster,3.72,Lily and the Octopus,2016
Elizabeth Strout,The profound mother-daughter bond is explored through a mother's hospital visit to her estranged daughter by the Pulitzer Prize-winning author of Olive Kitteridge and The Burgess Boys.,Hardcover,Fiction,January,193,Random House                          (first published January 6th 2016,3.51,My Name Is Lucy Barton,2016
Helen Oyeyemi,"The key to a house, the key to a heart, the key to a secret—Oyeyemi’s keys not only unlock elements of her characters’ lives, they promise further labyrinths on the other side. In “Books and Roses” one special key opens a library, a garden, and clues to at least two lovers’ fates. In “Is Your Blood as Red as This?” an unlikely key opens the heart of a student at a puppetee",Hardcover,Short Stories,March,325,Riverhead Books,3.63,What is Not Yours is Not Yours,2016
Jacqueline Woodson,"Running into a long-ago friend sets memories from the 1970s in motion for August, transporting her to a time and a place where friendship was everything—until it wasn’t. For August and her girls, sharing confidences as they ambled through neighborhood streets, Brooklyn was a place where they believed that they were beautiful, talented, brilliant—a part of a future that bel",Hardcover,Fiction,August,177,Amistad,3.86,Another Brooklyn,2016
Jonathan Safran Foer,<b>A monumental new novel from the bestselling author of<i> Everything Is Illuminated</i> and<i> Extremely Loud and Incredibly Close</i></b>,Hardcover,Fiction,September,592,"Farrar, Straus and Giroux",3.64,Here I Am,2016
Richard Russo,"Richard Russo, at the very top of his game, now returns to North Bath, in upstate New York, and the characters who made Nobody's Fool (1993) a ""confident, assured novel that sweeps the reader up,"" according to the San Francisco Chronicle back then. ""Simple as family love, yet nearly as complicated."" Or, as The Boston Globe put it, ""a big, rambunctious novel with endless ri",Hardcover,Fiction,May,477,Knopf,4.08,Everybody's Fool,2016
Nathan  Hill,"A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.",Hardcover,Fiction,August,640,Knopf,4.09,The Nix,2016
Jung Yun,<b>Why should a man care for his parents when they failed to take care of him as a child?</b>,Hardcover,Fiction,March,326,Picador                          (first published March 1st 2016,3.73,Shelter,2016
Karan Mahajan,FINALIST FOR THE NATIONAL BOOK AWARD 2016,Hardcover,Fiction,March,288,Viking,3.57,The Association of Small Bombs,2016
Ian McEwan,"<b>Nutshell is a classic story of murder and deceit, told by a narrator with a perspective and voice unlike any in recent literature. A bravura performance, it is the finest recent work from a true master.</b>",Hardcover,Fiction,September,208,Nan A. Talese                          (first published September 1st 2016,3.69,Nutshell,2016
Bette Lee Crosby,"On the day Jennifer Green was born a pile of stones was placed alongside her scale of life. A few were the dark gray of sorrow, but most were a pale blush color. The largest stone was the rose hue of a sunrise. That one would be placed on the scale the day she married Drew Bishop. Even more brilliant but a wee bit smaller was the pink stone glistening with specs of silver.",Kindle Edition,Fiction,September,248,Bent Pine Publishing,4.23,Silver Threads,2016
Tiffany McDaniel,<b>Fielding Bliss has never forgotten the summer of 1984:</b>,Hardcover,Fiction,July,310,St. Martin's Press,3.93,The Summer that Melted Everything,2016
Tiffany McDaniel,<b>Fielding Bliss has never forgotten the summer of 1984:</b>,Hardcover,Fiction,July,310,St. Martin's Press,3.93,The Summer that Melted Everything,2016
Stephen King,"The spectacular finale to the New York Times bestselling trilogy that began with Mr. Mercedes (winner of the Edgar Award) and Finders Keepers—In End of Watch, the diabolical “Mercedes Killer” drives his enemies to suicide, and if Bill Hodges and Holly Gibney don’t figure out a way to stop him, they’ll be victims themselves.",Hardcover,Horror,June,432,Scribner,4.09,End of Watch,2016
Louise Penny,Bestselling author Louise Penny pulls back the layers to reveal a brilliant and emotionally powerful truth in her latest spellbinding novel.,Hardcover,Mystery,August,389,Minotaur Books,4.42,A Great Reckoning,2016
Ruth Ware,"Lo Blacklock, a journalist who writes for a travel magazine, has just been given the assignment of a lifetime: a week on a luxury cruise with only a handful of cabins. The sky is clear, the waters calm, and the veneered, select guests jovial as the exclusive cruise ship, the Aurora, begins her voyage in the picturesque North Sea. At first, Lo's stay is nothing but pleasant",Hardcover,Mystery,July,340,Gallery/Scout Press                          (first published June 30th 2016,3.68,The Woman in Cabin 10,2016
J.D. Robb,"Dennis Mira just had two unpleasant surprises. First he learned that his cousin Edward was secretly meeting with a real estate agent about their late grandfather’s magnificent West Village brownstone, despite the promise they both made to keep it in the family. Then, when he went to the house to confront Edward about it, he got a blunt object to the back of the head.",Hardcover,Mystery,February,388,Berkley,4.36,Brotherhood in Death,2016
B.A. Paris,"Everyone knows a couple like Jack and Grace: he has looks and wealth, she has charm and elegance. You'd like to get to know Grace better. But it's difficult, because you realize Jack and Grace are never apart. Some might call this true love.",Hardcover,Thriller,August,293,St. Martin's Press                          (first published February 11th 2016,3.94,Behind Closed Doors,2016
Noah Hawley,"On a foggy summer night, eleven people—ten privileged, one down-on-his-luck painter—depart Martha's Vineyard on a private jet headed for New York. Sixteen minutes later, the unthinkable happens: the plane plunges into the ocean. The only survivors are the painter Scott Burroughs and a four-year-old boy, who is now the last remaining member of an immensely wealthy and power",Hardcover,Fiction,May,391,Grand Central Publishing,3.74,Before the Fall,2016
Tana French,"<b>The bestselling novel by Tana French, author of <i>The Witch Elm</i>, is “required reading for anyone who appreciates tough, unflinching intelligence and ingenious plotting” (<i>The New York Times</i>). She “inspires cultic devotion in readers” (<i>The New Yorker</i>) and is “the most important crime novelist to emerge in the past 10 years” (<i>The Washington Post</i>).<br/><br/>“Atmospheric and unputdownable.</b>",Hardcover,Mystery,October,449,Viking,3.96,The Trespasser,2016
Megan Miranda,"Like the spellbinding psychological suspense in The Girl on the Train and Luckiest Girl Alive, Megan Miranda’s novel is a nail-biting, breathtaking story about the disappearances of two young women—a decade apart—told in reverse.",Hardcover,Mystery,June,368,Simon  Schuster,3.79,All the Missing Girls,2016
Harlan Coben,<b>#1 <i>New York Time</i>s bestseller Harlan Coben delivers his next impossible-to-put-down thriller.</b>,Hardcover,Mystery,March,387,Dutton,3.93,Fool Me Once,2016
Shari Lapena,<i>It all started at a dinner party. . .</i>,Hardcover,Mystery,August,308,Pamela Dorman Books                          (first published July 14th 2016,3.77,The Couple Next Door,2016
David Baldacci,Convicted murderer Melvin Mars is counting down the last hours before his execution--for the violent killing of his parents twenty years earlier--when he's granted an unexpected reprieve. Another man has confessed to the crime.,Hardcover,Mystery,April,644,Grand Central Publishing                          (first published April 19th 2016,4.22,The Last Mile,2016
Daniel Silva,A network of terror.,Hardcover,Fiction,July,528,Harper,4.32,The Black Widow,2016
Fiona Barton,"When the police started asking questions, Jean Taylor turned into a different woman. One who enabled her and her husband to carry on, when more bad things began to happen...",Hardcover,Mystery,February,324,NAL,3.49,The Widow,2016
Kate Moretti,"Zoe Whittaker is living a charmed life. She is the beautiful young wife to handsome, charming Wall Street tycoon Henry Whittaker. She is a member of Manhattan’s social elite. She is on the board of one of the city’s most prestigious philanthropic organizations. She has a perfect Tribeca penthouse in the city and a gorgeous lake house in the country. The finest wine, the mo",Paperback,Mystery,September,296,Atria Books,3.64,The Vanishing Year,2016
Robert Bryndza,Her eyes are wide open. Her lips parted as if to speak. Her dead body frozen in the ice…She is not the only one. ,Paperback,Mystery,February,394,Bookouture,3.95,The Girl In The Ice,2016
Karin Slaughter,<strong> <em>Husbands and wives. Mothers and daughters. The past and the future. </em> </strong>,Hardcover,Mystery,September,461,William Morrow                          (first published June 14th 2016,4.09,The Kept Woman,2016
Aleatha Romig,"Sara Adams awakes blind, unable to remember the most basic details of her life, but her darkness seems a blessing when she discovers the terrors of The Light.",Paperback,Mystery,June,352,Thomas & Mercer,4.16,Into the Light,2016
Angela Marsons,<i>The dead don't tell secrets... unless you listen. </i>,Paperback,Mystery,May,392,Bookouture,4.39,Play Dead,2016
Susan Elia MacNeal,"England, 1942. The Nazis relentless Blitz may have paused, but London s nightly blackouts continue. Now, under the cover of darkness, a madman is brutally killing and mutilating young women in eerie and exact re-creations of Jack the Ripper s crimes. What s more, he s targeting women who are reporting for duty to be Winston Churchill s spies and saboteurs abroad. The offic",Paperback,Mystery,October,368,Bantam,3.94,The Queen's Accomplice,2016
John Hart,<p>Now at <i>NYT</i> Besteller </p>,Hardcover,Mystery,May,417,Thomas Dunne Books,4.08,Redemption Road,2016
Colson Whitehead,"Cora is a slave on a cotton plantation in Georgia. Life is hellish for all the slaves but especially bad for Cora; an outcast even among her fellow Africans, she is coming into womanhood - where even greater pain awaits. When Caesar, a recent arrival from Virginia, tells her about the Underground Railroad, they decide to take a terrifying risk and escape. Matters do not go",Hardcover,Historical,August,306,Doubleday Books,4.03,The Underground Railroad,2016
Martha Hall Kelly,"<b>Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.</b>",Hardcover,Historical,April,487,Ballantine Books,4.30,Lilac Girls,2016
Stephanie Dray,"In a compelling, richly researched novel that draws from thousands of letters and original sources, bestselling authors Stephanie Dray and Laura Kamoie tell the fascinating, untold story of Thomas Jefferson’s eldest daughter, Martha “Patsy” Jefferson Randolph—a woman who kept the secrets of our most enigmatic founding father and shaped an American legacy.",Paperback,Historical,March,606,William Morrow Paperbacks,4.22,America's First Daughter,2016
Amor Towles,"When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfol",Hardcover,Historical,September,462,Viking,4.36,A Gentleman in Moscow,2016
Emma Donoghue,"The Irish Midlands, 1859. An English nurse, Lib Wright, is summoned to a tiny village to observe what some are claiming as a medical anomaly or a miracle - a girl said to have survived without food for months. Tourists have flocked to the cabin of eleven-year-old Anna O'Donnell, and a journalist has come down to cover the sensation. ",Hardcover,Historical,September,291,"Little, Brown and Company",3.63,The Wonder,2016
Yaa Gyasi,"A novel of breathtaking sweep and emotional power that traces three hundred years in Ghana and along the way also becomes a truly great American novel. Extraordinary for its exquisite language, its implacable sorrow, its soaring beauty, and for its monumental portrait of the forces that shape families and nations, ",Hardcover,Historical,June,320,Alfred A. Knopf,4.42,Homegoing,2016
Philippa Gregory,As sisters they share an everlasting bond; As queens they can break each other’s hearts.,Hardcover,Historical,August,556,Touchstone,3.76,"Three Sisters, Three Queens",2016
Helen Simonson,The bestselling author of Major Pettigrew's Last Stand returns with a breathtaking novel of love and war that reaches far beyond the small English town in which it is set.,Hardcover,Historical,March,481,Random House                          (first published March 1st 2016,3.79,The Summer Before the War,2016
Melanie Benjamin,"<b>From the New York Times bestselling author of The Aviator’s Wife comes an enthralling new novel about Truman Capote’s scandalous, headline-making, and heart-wrenching friendship with Babe Paley and New York’s society “swans” of the 1950s.</b>",Hardcover,Historical,January,368,Delacorte Press,3.59,The Swans of Fifth Avenue,2016
Alexander Chee,"Lilliet Berne is a sensation of the Paris Opera, a legendary soprano with every accolade except an original role, every singer’s chance at immortality. When one is finally offered to her, she realizes with alarm that the libretto is based on a hidden piece of her past. Only four could have betrayed her: one is dead, one loves her, one wants to own her. And one, she hopes,",Hardcover,Fiction,February,561,Houghton Mifflin Harcourt,3.43,The Queen of the Night,2016
Graham Moore,"New York, 1888. Gas lamps still flicker in the city streets, but the miracle of electric light is in its infancy. The person who controls the means to turn night into day will make history--and a vast fortune. A young untested lawyer named Paul Cravath, fresh out of Columbia Law School, takes a case that seems impossible to win. Paul's client, George Westinghouse, has been",Hardcover,Historical,August,371,Random House,4.14,The Last Days of Night,2016
Weina Dai Randel,<i>There is no easy path for a woman aspiring to power. . . .</i>,Paperback,Historical,March,395,Sourcebooks Landmark,3.83,The Moon in the Palace,2016
Eowyn Ivey,Set again in the Alaskan landscape that she brought to stunningly vivid life in ,Hardcover,Historical,August,417,"Little, Brown and Company                          (first published August 1st 2016",4.15,To The Bright Edge of the World,2016
Kathleen Grissom,The latest ,Hardcover,Historical,April,365,Simon  Schuster,4.24,Glory Over Everything: Beyond The Kitchen House,2016
Ian McGuire,LONGLISTED FOR THE MAN BOOKER PRIZE 2016,Hardcover,Historical,March,272,Henry Holt and Co.                          (first published February 11th 2016,4.00,The North Water,2016
Paulette Jiles,"In the aftermath of the Civil War, an aging itinerant news reader agrees to transport a young captive of the Kiowa back to her people in this exquisitely rendered, morally complex, multilayered novel of historical fiction from the author of ",Hardcover,Historical,October,209,William Morrow                          (first published March 29th 2016,4.09,News of the World,2016
Madeleine Thien,"Madeleine Thien's new novel is breathtaking in scope and ambition even as it is hauntingly intimate. With the ease and skill of a master storyteller, Thien takes us inside an extended family in China, showing us the lives of two successive generations--those who lived through Mao's Cultural Revolution in the mid-twentieth century; and the children of the survivors, who bec",Hardcover,Fiction,May,473,Knopf Canada,3.91,Do Not Say We Have Nothing,2016
Jennifer S. Brown,<b>A dazzling debut novel set in New York City’s Jewish immigrant community in 1935...</b>,Paperback,Historical,May,384,Berkley Books                          (first published April 5th 2016,3.91,Modern Girls,2016
Shawna Yang Ryan,"<b>A stunning story of love, betrayal, and family, set against the backdrop of a changing Taiwan over the course of the twentieth century.</b>",Hardcover,Historical,February,400,Knopf,3.99,Green Island,2016
Lynda Cohen Loigman,"Brooklyn, 1947: in the midst of a blizzard, in a two-family brownstone, two babies are born minutes apart to two women. They are sisters by marriage with an impenetrable bond forged before and during that dramatic night; but as the years progress, small cracks start to appear and their once deep friendship begins to unravel. No one knows why, and no one can stop it. One mi",Hardcover,Historical,March,290,St. Martin's Press,3.93,The Two-Family House,2016
John Tiffany,"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, ",Hardcover,Fantasy,July,343,"Little, Brown",3.69,Harry Potter and the Cursed Child: Parts One and Two,2016
V.E. Schwab,"It has been four months since a mysterious obsidian stone fell into Kell's possession. Four months since his path crossed with Delilah Bard. Four months since Prince Rhy was wounded, and since the nefarious Dane twins of White London fell, and four months since the stone was cast with Holland's dying body through the rift--back into Black London.",Hardcover,Fantasy,February,512,Tor Books,4.31,A Gathering of Shadows,2016
Brandon Sanderson,"<b>From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. </b>",Hardcover,Fantasy,January,447,Tor Books,4.45,The Bands of Mourning,2016
Karen Marie Moning,"In Karen Marie Moning’s latest installment of the epic #1 New York Times bestselling Fever series, the stakes have never been higher and the chemistry has never been hotter. Hurtling us into a realm of labyrinthine intrigue and consummate seduction, FEVERBORN is a riveting tale of ancient evil, lust, betrayal, forgiveness and the redemptive power of love.",Hardcover,Fantasy,January,436,Delacorte Press,4.20,Feverborn,2016
Patricia Briggs,"Tensions between the fae and humans are coming to a head. And when coyote shapeshifter Mercy and her Alpha werewolf mate, Adam, are called upon to stop a rampaging troll, they find themselves with something that could be used to make the fae back down and forestall out-and-out war: a human child stolen long ago by the fae.",Hardcover,Fantasy,March,342,Ace,4.37,Fire Touched,2016
Charlie Jane Anders,<b>A novel about the end of the world--and the beginning of our future</b>,Hardcover,Fantasy,January,313,Tor Books,3.58,All the Birds in the Sky,2016
Ilona Andrews,Mercenary Kate Daniels knows all too well that magic in post-Shift Atlanta is a dangerous business. But nothing she’s faced could have prepared her for this…,Hardcover,Fantasy,September,328,Ace,4.57,Magic Binds,2016
Amy Harmon,"<i>Swallow, Daughter, pull them in, those words that sit upon your lips. Lock them deep inside your soul, hide them ‘til they’ve time to grow. Close your mouth upon the power, curse not, cure not, ‘til the hour. You won’t speak and you won’t tell, you won’t call on heav’n or hell. You will learn and you will thrive. Silence, Daughter. Stay alive.</i>",Paperback,Fantasy,May,352,CreateSpace,4.25,The Bird and the Sword,2016
Anne Bishop,"<b>For centuries, the Others and humans have lived side by side in uneasy peace. But when humankind oversteps its bounds, the Others will have to decide how much humanity they’re willing to tolerate—both within themselves and within their community...</b>",Hardcover,Fantasy,March,399,Roc,4.30,Marked in Flesh,2016
Darynda Jones,"As a part-time PI and full-time grim reaper, Charley Davidson has asked a lot of questions throughout her life: ",Hardcover,Fantasy,June,342,St. Martin's Press,4.40,The Curse of Tenth Grave,2016
N.K. Jemisin,<b>THIS IS THE WAY THE WORLD ENDS... FOR THE LAST TIME.</b>,Paperback,Fantasy,August,410,Orbit                          (first published August 16th 2016,4.34,The Obelisk Gate,2016
Ken Liu,A publishing event: Bestselling author Ken Liu selects his award-winning science fiction and fantasy tales for a groundbreaking collection—including a brand-new piece exclusive to this volume.,Hardcover,Short Stories,March,450,Saga Press,4.39,The Paper Menagerie and Other Stories,2016
Michael J. Sullivan,Age of Myth inaugurates another six-book series set in Elan.,Hardcover,Fantasy,June,432,Del Rey,4.25,Age of Myth,2016
Kevin Hearne,"<b>Iron Druid Atticus O'Sullivan, hero of Kevin Hearne's epic <i>New York Times</i> bestselling urban fantasy series, has a point to make—and then drive into a vampire's heart.</b>",Hardcover,Fantasy,January,310,Del Rey,4.24,Staked,2016
Daniel O'Malley,"In this spirited sequel, The Rook returns to clinch an alliance between deadly rivals and avert epic—and slimy—supernatural war.",Hardcover,Fantasy,June,583,"Little, Brown, and Company",4.15,Stiletto,2016
Seanan McGuire,<b>Eleanor West’s Home for Wayward Children</b>,Hardcover,Fantasy,April,170,Tor.com,3.86,Every Heart a Doorway,2016
Mark  Lawrence,"<b>From the international bestselling author of the Broken Empire Trilogy, the thrilling conclusion to the Red Queen’s War...</b>",Hardcover,Fantasy,June,656,Harper Voyager                          (first published May 5th 2016,4.34,The Wheel of Osheim,2016
Karpov Kinrade,"From USA TODAY bestselling author, Karpov Kinrade, comes a new series that will suck you in and leave you wanting more. For fans of Twilight, A Shade of Vampire, and Outlander comes a fantasy romance with an original twist on an old tale.",Paperback,Fantasy,April,270,Daring Books,4.05,Vampire Girl,2016
Brent Weeks,"Stripped of both magical and political power, the people he once ruled told he's dead, and now imprisoned in his own magical dungeon, former Emperor Gavin Guile has no prospect of escape. But the world faces a calamity greater than the Seven Satrapies has ever seen... and only he can save it.",Hardcover,Fantasy,October,704,Orbit,4.32,The Blood Mirror,2016
Robert Jackson Bennett,"A generation ago, the city of Voortyashtan was the stronghold of the god of war and death, the birthplace of fearsome supernatural sentinels who killed and subjugated millions.",Paperback,Fantasy,January,484,Broadway Books                          (first published January 7th 2016,4.22,City of Blades,2016
Colleen Hoover,Sometimes it is the one who loves you who hurts you the most.,Paperback,Romance,August,376,Atria Books,4.41,It Ends with Us,2016
Robert Thier,"Freedom—that is what Lilly Linton wants most in life. Not marriage, not a brood of squalling brats, and certainly not love, thank you very much!",ebook,Romance,March,765,Robert Thier,4.51,Storm and Silence,2016
Nora Roberts,"<i>“She stood in the deep, dark woods, breath shallow and cold prickling over her skin despite the hot, heavy air. She took a step back, then two, as the urge to run fell over her.” </i>",Hardcover,Romance,April,453,Berkley,4.19,The Obsession,2016
J.R. Ward,"Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a ba",Hardcover,Fantasy,April,508,NAL,4.45,The Beast,2016
Sylvia Day,Gideon Cross. Falling in love with him was the easiest thing I've ever done. It happened instantly. Completely. Irrevocably.,Paperback,Romance,April,464,St. Martin's Griffin,4.08,One with You,2016
Julia Quinn,<i>Sometimes you find love in the most unexpected of places...</i>,Mass Market Paperback,Romance,March,375,Avon,3.87,Because of Miss Bridgerton,2016
C.S. Pacat,<i>Damianos of Akielos has returned</i>,Paperback,Fantasy,February,352,Berkley,4.48,Kings Rising,2016
Erin Watt,THESE ROYALS WILL RUIN YOU...,Paperback,Romance,April,364,Everafter Romance,4.03,Paper Princess,2016
Sally  Thorne,<blockquote> <i>Nemesis (n.) <br/>1) An opponent or rival whom a person cannot best or overcome;<br/>2) A person’s undoing;<br/>3) Joshua Templeman.</i> </blockquote>,Paperback,Romance,August,384,William Morrow Paperbacks,4.22,The Hating Game,2016
Penny Reid,"<i> <b>Make a deal with the devil and you might get what you want, but will it be what you need?</b> </i>",Kindle Edition,Romance,October,386,Cipher-Naught,4.48,Beard Science,2016
Elle Kennedy,"He knows how to score, on and off the ice",Paperback,New Adult,January,360,Createspace Independent Publishing Platform,4.26,The Score,2016
Mariana Zapata,<b>16 hrs</b>,Paperback,Romance,March,672,Mariana Zapata                          (first published February 29th 2016,4.34,The Wall of Winnipeg and Me,2016
Sherrilyn Kenyon,<i>“It’s official Take a Psycho to Work Day. Why else would I be here?”</i>,Hardcover,Romance,June,726,St. Martin's Press,4.55,Born of Legend,2016
Jamie McGuire,"Fresh out of college, Ellison Edson has fallen through the cracks of rock bottom. While staying in her family’s vacation home in Colorado, her behavior has finally gained the attention of her parents—but not in the way she hoped. Cut off from the millions she’s always taken for granted, and left alone to fend for herself, Ellie spirals further out of control, making a mist",Paperback,Romance,January,304,Createspace Independent Publishing Platform,4.10,Beautiful Burn,2016
Vi Keeland,<b>Four consecutive weeks on the New York Times and #1 in Romance. </b>,Paperback,Romance,April,328,Everafter Romance,4.13,Stuck-Up Suit,2016
Lauren Blakely,"It's not just the motion of the ocean, ladies. It's definitely the SIZE of the boat too. ",Paperback,Romance,January,235,EverAfter Platinum,3.95,Big Rock,2016
Penelope Ward,"Sharing a summer house with a hot-as-hell roommate should be a dream come true, right? ",Paperback,Romance,February,280,Createspace Independent Publishing Platform,4.05,RoomHate,2016
Penelope Douglas,"""We were perfect together. Until we met."" ",Paperback,Romance,October,342,CreateSpace,4.20,Punk 57,2016
T.S. Joyce,****Don't miss the epic finale of T. S. Joyce's bestselling Harper's Mountains series**** ,Kindle Edition,Fantasy,August,214,Wicked Willow Press,4.56,Blackwing Dragon,2016
T.M. Frazier,"Samuel Clearwater, A.K.A Preppy, likes bowties, pancakes, suspenders, good friends, good times, good drugs, and a good f*ck. ",Paperback,Dark,October,300,Everafter Romance,4.60,"Preppy: The Life and Death of Samuel Clearwater, Part One",2016
Pierce Brown,#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating conclusion to the Red Rising Trilogy: Morning Star.,Hardcover,Science Fiction,February,524,Del Rey,4.49,Morning Star,2016
Blake Crouch,“Are you happy with your life?” ,Hardcover,Science Fiction,July,342,Crown,4.10,Dark Matter,2016
Claudia Gray,<b>Witness the birth of the Resistance</b>,Hardcover,Media Tie In,May,332,LucasBooks,4.06,Bloodline,2016
Terry Pratchett,"2070-71. Nearly six decades after Step Day and in the Long Earth, the new Next post-human society continues to evolve. ",Hardcover,Science Fiction,June,377,Harper,3.85,The Long Cosmos,2016
Julie McElwain,"Beautiful and brilliant, Kendra Donovan is a rising star at the FBI. Yet her path to professional success hits a speed bump during a disastrous raid where half her team is murdered, a mole in the FBI is uncovered and she herself is severely wounded. As soon as she recovers, she goes rogue and travels to England to assassinate the man responsible for the deaths of her teamm",Hardcover,Mystery,April,498,Pegasus Books,3.74,A Murder in Time,2016
Sylvain Neuvel,"A girl named Rose is riding her new bike near home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square-shaped hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.",Hardcover,Science Fiction,April,320,Del Rey,3.85,Sleeping Giants,2016
Alexandra Oliva,Survival is the name of the game as the line blurs between reality TV and reality itself in Alexandra Oliva’s fast-paced novel of suspense.,Hardcover,Fiction,July,304,Ballantine Books,3.63,The Last One,2016
Jodi Taylor,'I've done some stupid things in my time. I've been reckless. I've broken a few rules. But never before have I ruined so many lives or left such a trail of destruction behind me.',Paperback,Science Fiction,May,397,Accent Press,4.43,"Lies, Damned Lies, and History",2016
Ben H. Winters,"<b> <blockquote>It is the present-day, and the world is as we know it: smartphones, social networking and Happy Meals. Save for one thing: the Civil War never occurred.</blockquote> </b>",Hardcover,Fiction,July,336,Mulholland Books,3.84,Underground Airlines,2016
Connie Willis,"Science fiction icon Connie Willis brilliantly mixes a speculative plot, the wit of Nora Ephron, and the comedic flair of P. G. Wodehouse in ",Hardcover,Science Fiction,October,498,Del Rey                          (first published September 20th 2016,3.52,Crosstalk,2016
Lois McMaster Bujold,Cordelia Naismith Vorkosigan returns to the planet that changed her destiny.,Hardcover,Science Fiction,February,344,Baen                          (first published February 1st 2016,3.81,Gentleman Jole and the Red Queen,2016
Liu Cixin,With ,Hardcover,Science Fiction,September,604,TOR                          (first published 2010,4.45,Death's End,2010
Lindsay Buroker,"The Alliance has toppled the tyrannical empire. It should be a time for celebration, but not for fighter pilot Captain Alisa Marchenko. After barely surviving a crash in the final battle for freedom, she's stranded on a dustball of a planet, billions of miles from her young daughter. She has no money or resources, and there are no transports heading to Perun, her former ho",Paperback,Science Fiction,June,228,Createspace Independent Publishing Platform                          (first published May 26th 2016,3.98,Star Nomad,2016
Ada Palmer,"Mycroft Canner is a convict. For his crimes he is required, as is the custom of the 25th century, to wander the world being as useful as he can to all he meets. Carlyle Foster is a sensayer – a spiritual counselor in a world that has outlawed the public practice of religion, but which also knows that the inner lives of humans cannot be wished away.",Hardcover,Science Fiction,May,432,Tor Books,3.83,Too Like the Lightning,2016
Becky Chambers,"Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has no memory of what came before. As Lovelace learns to negotiate the universe and discover who she is, she makes friends with Pepper, an excitable engineer, who's determined to help her learn and grow.",Hardcover,Science Fiction,October,365,Hodder & Stoughton,4.36,A Closed and Common Orbit,2016
Marcus Sakey,<b>The explosive conclusion to the bestselling Brilliance Trilogy</b>,Paperback,Science Fiction,January,337,Thomas & Mercer,4.18,Written in Fire,2016
