author,description,format,genre,month,pages,publisher,rating,title,year
Larry Olmsted,"You’ve seen the headlines: Parmesan cheese made from wood pulp. Lobster rolls containing no lobster at all. Extra-virgin olive oil that isn’t. Fake foods are in our supermarkets, our restaurants, and our kitchen cabinets. Award-winning food journalist and travel writer Larry Olmsted exposes this pervasive and dangerous fraud perpetrated on unsuspecting Americans.   ",Hardcover,Nonfiction,July,318,Algonquin Books,3.80,Real Food/Fake Food: Why You Don’t Know What You’re Eating and What You Can Do About It,2016
Gina Homolka,<b>80+ Under 30 Minute Dishes and 60 Slow Cooker Recipes </b>,Hardcover,Food and Drink,October,304,Clarkson Potter,4.14,Skinnytaste Fast and Slow: Knockout Quick-Fix and Slow-Cooker Recipes for Real Life,2016
Laura    Miller,"<b>Whether you already love vegan food or need some convincing, YouTube star Laura Miller offers more than a hundred entirely vegan and mostly raw recipes for all people who want to eat deliciously.</b>",Hardcover,Food and Drink,May,224,Flatiron Books,4.27,Raw. Vegan. Not Gross.: All Vegan and Mostly Raw Recipes for People Who Love to Eat,2016
Andie Mitchell,In her inspiring ,Hardcover,Food and Drink,March,240,Clarkson Potter,3.89,Eating in the Middle: A Mostly Wholesome Cookbook,2016
Cara Mangini,"<b>Winner, IACP Cookbook Awards for Single Subject and People's Choice.</b>",Hardcover,Food and Drink,April,352,Workman Publishing Company                          (first published March 22nd 2016,4.10,"The Vegetable Butcher: How to Select, Prep, Slice, Dice, and Masterfully Cook Vegetables from Artichokes to Zucchini",2016
Steven Raichlen,From America’s “master griller” (,Paperback,Food and Drink,May,304,Workman Publishing Company                          (first published May 3rd 2016,4.21,"Project Smoke: Seven Steps to Smoked Food Nirvana, Plus 100 Irresistible Recipes from Classic (Slam-Dunk Brisket) to Adventurous (Smoked Bacon-Bourbon Apple Crisp)",2016
Lucie B. Amundsen,<b>How a Midwestern family with no agriculture experience went from a few backyard chickens to a full-fledged farm—and discovered why local chicks are better.</b>,Hardcover,Nonfiction,March,336,Avery,4.02,"Locally Laid: How We Built a Plucky, Industry-changing Egg Farm - from Scratch",2016
Deuki Hong,"<b>A collection of 100 recipes exploring the foods and flavors of Koreatown, a <i>New York Times</i> bestseller and one of the most praised cookbooks of 2016.</b>",Hardcover,Food and Drink,February,272,Clarkson Potter,4.09,Koreatown: A Cookbook,2016
Hannah Crum,<b>2016 Silver Nautilus Book Award Winner </b>,Paperback,Food and Drink,March,400,"Storey Publishing, LLC",4.53,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea",2016
Martin Cate,<b>Cast aside your cares and worries</b>,Hardcover,Food and Drink,June,352,Ten Speed Press,4.49,"Smuggler's Cove: Exotic Cocktails, Rum, and the Cult of Tiki",2016
Anthony Bourdain,"Anthony Bourdain is a man of many appetites. And for many years, first as a chef, later as a world-traveling chronicler of food and culture on his CNN series ",Hardcover,Food and Drink,October,304,Ecco,3.97,Appetites: A Cookbook,2016
Shalane Flanagan,"From world-class marathoner and 4-time Olympian Shalane Flanagan and chef Elyse Kopecky comes a whole foods, flavor-forward cookbook that proves food can be indulgent and nourishing at the same time. Finally here's a cookbook for runners that shows fat is essential for flavor and performance and that counting calories, obsessing over protein, and restrictive dieting does m",Hardcover,Food and Drink,August,256,Rodale Books,4.32,Run Fast. Eat Slow.: Nourishing Recipes for Athletes,2016
Vivian Howard,"<b>Vivian Howard, star of PBS's A CHEF'S LIFE, celebrates the flavors of North Carolina's coastal plain in more than 200 recipes and stories.</b>",Hardcover,Food and Drink,October,576,"Little, Brown and Company",4.49,Deep Run Roots: Stories and Recipes from My Corner of the South,2016
Sarah Andersen,<b>Are you a special snowflake? <br/><br/>Do you enjoy networking to advance your career? <br/><br/>Is adulthood an exciting new challenge for which you feel fully prepared? <br/><br/>Ugh. Please go away.</b>,Paperback,Sequential Art,March,112,Andrews McMeel Publishing,4.11,Adulthood Is a Myth,2016
Brian K. Vaughan,"After a dramatic time jump, the three-time Eisner Award winner for Best Continuing Series continues to evolve, as Hazel begins the most exciting adventure of her life: kindergarten. Meanwhile, her starcrossed family learns hard lessons of their own.",Paperback,Sequential Art,July,152,Image Comics                          (first published June 29th 2016,4.49,"Saga, Vol. 6",2016
Raina Telgemeier,THERE'S SOMETHING DIFFERENT ABOUT THIS TOWN...,Hardcover,Sequential Art,September,256,Graphix,4.21,Ghosts,2016
G. Willow Wilson,"<b>Look out world, Kamala Khan is officially an Avenger!</b>",Paperback,Sequential Art,July,144,Marvel,4.23,"Ms. Marvel, Vol. 5: Super Famous",2016
Ichigo Takano,<b>A Plea From the Future</b>,Paperback,Sequential Art,January,523,Seven Seas,4.42,"Orange: The Complete Collection, Volume 1",2016
Marjorie M. Liu,"Set in an alternate matriarchal 1900's Asia, in a richly imagined world of art deco-inflected steam punk, MONSTRESS tells the story of a teenage girl who is struggling to survive the trauma of war, and who shares a mysterious psychic link with a monster of tremendous power, a connection that will transform them both and make them the target of both human and otherworldly p",Paperback,Sequential Art,July,235,Image Comics,3.94,"Monstress, Vol. 1: Awakening",2016
Paul Dini,This is a Batman story like no other—the harrowing and eloquent autobiographical tale of writer Paul Dini’s courageous struggle to overcome a desperate situation. ,Hardcover,Sequential Art,June,129,Vertigo,4.13,Dark Night: A True Batman Story,2016
Noelle Stevenson,"IF YOU GOT IT, HAUNT IT!",Paperback,Sequential Art,April,112,BOOM! Box,4.06,"Lumberjanes, Vol. 3: A Terrible Plan",2016
Brian K. Vaughan,"In the early hours after Halloween of 1988, four 12-year-old newspaper delivery girls uncover the most important story of all time. Suburban drama and otherworldly mysteries collide in this smash-hit series about nostalgia, first jobs, and the last days of childhood.",Paperback,Sequential Art,April,144,Image Comics                          (first published March 30th 2016,3.86,"Paper Girls, Vol. 1",2016
Ta-Nehisi Coates,"A new era for the Black Panther starts here! Written by MacArthur Genius and National Book Award winner TA-NEHISI COATES (Between the World and Me) and illustrated by living legend BRIAN STELFREEZE, ""A Nation Under Our Feet"" is a story about dramatic upheaval in Wakanda and the Black Panther's struggle to do right by his people as their ruler. The indomitable will of Wakan",Kindle Edition,Sequential Art,April,31,Marvel Comics,3.89,Black Panther #1,2016
Geoff Johns,It all begins here. Do not skip to the last page. Do not let a friend or message board ruin this comic for you. The future (and past) of the DC Universe starts here. Don’t say we didn’t warn you!,Kindle Edition,Sequential Art,May,80,DC Comics,4.18,DC Universe: Rebirth #1,2016
Kurtis J. Wiebe,"Having survived the end of the world, the Queens follow Hannah back to where it all began: Mage University. A long perilous journey awaits the Rat Queens as they attempt to find out what happened to Hannah’s father while battling their own demons. ",Paperback,Sequential Art,April,160,Image Comics,3.86,"Rat Queens, Vol. 3: Demons",2016
Kieron Gillen,After the detonation of FANDEMONIUM the gods-as-pop-stars of THE WICKED + THE DIVINE try living in the long dark shadow. ,Paperback,Sequential Art,February,200,Image Comics                          (first published February 3rd 2016,3.69,"The Wicked + The Divine, Vol. 3: Commercial Suicide",2016
Tom Hart,<i>Rosalie Lightning</i>,Hardcover,Sequential Art,January,272,St. Martin's Press,4.13,Rosalie Lightning: A Graphic Memoir,2016
Tom King,"The Vision wants to be human, and what's more human than family? So he heads back to the beginning, to the laboratory where Ultron created him and molded him into a weapon. The place where he first rebelled against his given destiny and imagined that he could be more -that he could be a man. There, he builds them. A wife, Virginia. Two teenage twins, Viv and Vin. They look",Paperback,Sequential Art,July,136,Marvel,4.26,"The Vision, Volume 1: Little Worse Than A Man",2016
Terry Pratchett,"<i>'Just because you can't explain it, doesn't mean it's a miracle.'</i>",Hardcover,Fantasy,July,128,Doubleday,4.26,Small Gods: A Discworld Graphic Novel,2016
Lucy Knisley,"A funny and whip-smart new book about the institution of marriage in America told through the lens of her recent engagement and wedding…. The graphic novel tackles the all-too-common wedding issues that go along with being a modern woman: feminism, expectations, getting knocked over the head with gender stereotypes, family drama, and overall wedding chaos and confusion.",Paperback,Sequential Art,May,292,First Second,3.89,Something New: Tales from a Makeshift Bride,2016
Daniel Clowes,<em>Patience</em>,Hardcover,Sequential Art,March,180,Fantagraphics,3.86,Patience,2016
Brandon Sanderson,A brand new saga of magic and adventure by #1 New York Times best-selling author Brandon Sanderson. ,Hardcover,Sequential Art,June,160,Dynamic Forces,3.67,"White Sand, Volume 1",2016
John             Lewis,"Welcome to the stunning conclusion of the award-winning and best-selling MARCH trilogy. Congressman John Lewis, an American icon and one of the key figures of the civil rights movement, joins co-writer Andrew Aydin and artist Nate Powell to bring the lessons of history to vivid life for a new generation, urgently relevant for today's world.",Paperback,Sequential Art,August,246,Top Shelf Productions,4.69,March: Book Three,2016
Amanda Lovelace,"""Ah, life- the thing that happens to us while we're off somewhere else blowing on dandelions & wishing ourselves into the pages of our favorite fairy tales.""",Paperback,Poetry,April,156,CreateSpace,3.92,The Princess Saves Herself in This One,2016
Lang Leav,Lang Leav presents a completely new collection of poetry with a celestial theme in ,Paperback,Poetry,October,240,Andrews McMeel Publishing,4.12,The Universe of Us,2016
Pablo Neruda,Pablo Neruda's lost poems—recently discovered in his archive to the delight of readers and scholars—comprise this remarkable and essential volume.,Hardcover,Poetry,May,160,Copper Canyon Press                          (first published April 12th 2016,4.19,Then Come Back: The Lost Neruda Poems,2016
Savannah Brown,"Savannah Brown's first collection of poetry is a vulnerable account of adolescence from someone in the thick of it. Written between the ages of sixteen and eighteen, with examinations of anxiety, death, first loves, and first lusts, GRAFFITI extends a hand to those undergoing the trials and uncertainty of teenagehood, and assures them they're not alone.",Hardcover,Poetry,March,80,Self Published,4.35,Graffiti (and Other Poems),2016
Samantha Jayne,"<strong>The creator of the popular Tumblr and Instagram ""Quarter Life Poetry"" tackles the real-life truths of work, money, sex, and many other challenges 20-somethings face in a laugh-out-loud collection of poetry.<br/><br/></strong>",Paperback,Poetry,April,176,Grand Central Publishing,3.44,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",2016
Kwame Alexander,<b>National Book Award Long List<br/><i>New York Times </i>Bestseller </b>,Hardcover,Poetry,April,320,HMH Books for Young Readers,4.19,Booked,2016
Sierra DeMulder,"Vivid, courageous, and candid, the poetry of Sierra deMulder speaks straight to the heart.",Paperback,Poetry,February,112,Andrews McMeel Publishing,4.14,Today Means Amen,2016
Robert M. Drake,"With the same heartwarming composition and genius Robert M. Drake brought to his international bestselling books Beautiful Chaos, Black Butterfly and A Brilliant Madness, Robert M. Drake now takes his readers to a deeper level of his consciousness with this collection of stories. A man encounters God in a bar; a family is saved by a time traveler in the middle of the night",Paperback,Short Stories,April,324,Vintage Wild                          (first published 2016,3.78,Beautiful and Damned,2016
